age,citizenship,event_location,event_location_district,event_location_region,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by
32.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Kfar Dan,Jenin,West Bank,M,,al-Yamun,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
15.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin,Jenin,gunfire,missile,Israeli security forces
24.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,No,Khan Yunis,Khan Yunis,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
23.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,missile,Israeli security forces
15.0,Palestinian,al-'Arrub R.C.,Hebron,West Bank,M,,al-'Arrub Camp,Hebron,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Argaman,Jericho,West Bank,M,,a-Zbeidat,Jericho,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
45.0,Palestinian,'Aqqabah,Tubas,West Bank,M,,Aqqaba,Tubas,gunfire,live ammunition,Israeli security forces
41.0,Palestinian,Beit Sira,Ramallah and al-Bira,West Bank,M,,Deir Ammar Camp,Ramallah and al-Bira,gunfire,live ammunition,Israeli security forces
14.0,Palestinian,al-Musrarah,East Jerusalem,West Bank,M,,Beit Hanina,East Jerusalem,stabbing,live ammunition,Israeli security forces
17.0,Palestinian,a-Zababidah,Jenin,West Bank,M,,a-Zababida,Jenin,gunfire,live ammunition,Israeli security forces
40.0,Israeli,Beit Hagai,Hebron,West Bank,F,,Beit Hagai,Hebron,gunfire,live ammunition,Palestinian civilians
28.0,Israeli,Huwarah,Nablus,West Bank,M,,Ashdod,Israel,gunfire,live ammunition,Palestinian civilians
60.0,Israeli,Huwarah,Nablus,West Bank,M,,Ashdod,Israel,gunfire,live ammunition,Palestinian civilians
32.0,Palestinian,Jenin,Jenin,West Bank,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,Jericho,Jericho,gunfire,live ammunition,Israeli security forces
25.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,,Tulkarm,Tulkarm,gunfire,live ammunition,Israeli security forces
24.0,Palestinian,Nablus,Nablus,West Bank,M,,Ein Beit al-Maa R.C.,Nablus,gunfire,live ammunition,Israeli security forces
21.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
26.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,,Jenin R.C.,Jenin,gunfire,live ammunition,Israeli security forces
16.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,,Jalqamus,Jenin,gunfire,live ammunition,Israeli security forces
22.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,,Rummana,Jenin,gunfire,live ammunition,Israeli civilians
